"Hot","Caliente"
"Hot!","Caliente!"
"Hot !","Caliente !"
"New","Nuevo"
"Categories","Catégories"
"Home Page","Home Page"
"NEW ARRIVALS","NEW ARRIVALS"
"Hot Sale","Hot Sale"
"Bestseller","Bestseller"
"Featured Products","Featured Products"
"Latest Products","Latest Products"
"Most Viewed","Most Viewed"
"New Products","New Products"
"Random Products","Random Products"
"Sale Products","Vente Produits"

"WEEKLY FEATURED","WEEKLY FEATURED"
"Testimonial","Testimonial"
"Testimonials","Testimonials"
"Latest from our blog","Latest from our blog"
"Our Latest Tweets","Our Latest Tweets"
